ID,Name,Size,MRP,Sale Price,URL
17,Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,20 gm,₹190,₹152,https://www.1mg.com/otc/dr-willmar-schwabe-india-thyroidinum-trituration-tablet-3x-otc324953
18,Bakson's Homeopathy Y-Lax Tablet,75 tablets,₹215,₹180,https://www.1mg.com/otc/bakson-s-homeopathy-y-lax-tablet-otc400769
19,SBL Stobal Cough Syrup,180 ml,₹175,₹166,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328988
20,Dr. Reckeweg Berberis Vul Mother Tincture Q,20 ml,₹270,₹234,https://www.1mg.com/otc/dr.-reckeweg-berberis-vul-mother-tincture-q-otc327784
21,Dr. Reckeweg R73 Joint Pain Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r73-joint-pain-drop-otc327364
22,Dr. Reckeweg R13 Hemorrhoidal Drop,22 ml,₹285,₹248,https://www.1mg.com/otc/dr.-reckeweg-r13-hemorrhoidal-drop-otc327481
23,Dr Willmar Schwabe India Damiaplant Drop,30 ml,₹425,₹361,https://www.1mg.com/otc/dr-willmar-schwabe-india-damiaplant-drop-otc325889
24,SBL Arnica Montana Hair Oil with Tjc,200 ml,₹425,MRP₹160,https://www.1mg.com/otc/sbl-arnica-montana-hair-oil-with-tjc-otc330951
25,SBL Nux Vomica Dilution 30 CH,30 ml,₹100,₹85,https://www.1mg.com/otc/sbl-nux-vomica-dilution-30-ch-otc338194
26,SBL Scalptone Tablet,25 gm,₹165,₹155,https://www.1mg.com/otc/sbl-scalptone-tablet-otc326111
27,Bakson's Homeopathy Aller Aid Tablet,75 tablets,₹215,₹153,https://www.1mg.com/otc/bakson-s-homeopathy-aller-aid-tablet-otc388848
28,SBL Clearstone Drop,30 ml,₹165,₹141,https://www.1mg.com/otc/sbl-clearstone-drop-otc326121
29,Bhargava Spondin Drop,30 ml,₹185,₹170,https://www.1mg.com/otc/bhargava-spondin-drop-otc325892
30,Bakson's Homeopathy Throat Aid Tablet,75 tablets,₹215,₹151,https://www.1mg.com/otc/bakson-s-homeopathy-throat-aid-tablet-otc325990
31,SBL Berberis Vulgaris Mother Tincture Q,30 ml,₹105,₹98,https://www.1mg.com/otc/sbl-berberis-vulgaris-mother-tincture-q-otc348876
32,Dr. Reckeweg R5 Stomach and Digestion Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r5-stomach-and-digestion-drop-otc326077
33,SBL Tonicard Gold Drop Homeopathic Medicine,100 ml,₹425,₹335,https://www.1mg.com/otc/sbl-tonicard-gold-drop-homeopathic-medicine-otc329006
34,Dr. Reckeweg R9 Cough Drop,22 ml,₹285,₹259,https://www.1mg.com/otc/dr.-reckeweg-r9-cough-drop-otc326072
35,Bakson's Homeopathy Aller Aid Tablet,200 tablets,₹500,₹377,https://www.1mg.com/otc/bakson-s-homeopathy-aller-aid-tablet-otc326090
36,Dr. Reckeweg R25 Prostatitis Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r25-prostatitis-drop-otc326058
37,SBL Calcarea Fluorica Biochemic Tablet 6X,25 gm,₹110,₹96.3,https://www.1mg.com/otc/sbl-calcarea-fluorica-biochemic-tablet-6x-otc331087
38,SBL Syzygium Jambolanum Mother Tincture Q,30 ml,₹105,₹98,https://www.1mg.com/otc/sbl-syzygium-jambolanum-mother-tincture-q-otc338412
39,SBL Arnica Montana Dilution 200 CH,30 ml,₹115,₹106,https://www.1mg.com/otc/sbl-arnica-montana-dilution-200-ch-otc338216
40,SBL Bio-Combination 6 Tablet,25 gm,₹110,₹97.9,https://www.1mg.com/otc/sbl-bio-combination-6-tablet-otc331025
41,Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r40-diabetes-drop-homeopathic-medicine-otc326035
42,Dr. Reckeweg R71 Sciatica Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r71-sciatica-drop-otc325999
43,SBL Arsenicum Album Dilution 30 CH,30 ml,₹100,₹96,https://www.1mg.com/otc/sbl-arsenicum-album-dilution-30-ch-otc338369
44,Bakson's Homeopathy Throat Aid Tablet,200 tablets,₹500,₹341,https://www.1mg.com/otc/bakson-s-homeopathy-throat-aid-tablet-otc502934
45,Dr. Reckeweg R7 Liver and Gallbladder Drop,22 ml,₹285,₹234,https://www.1mg.com/otc/dr.-reckeweg-r7-liver-and-gallbladder-drop-otc326075
46,SBL Nux Vomica Dilution 200 CH,30 ml,₹115,₹101,https://www.1mg.com/otc/sbl-nux-vomica-dilution-200-ch-otc338195
47,Bakson's Homeopathy Calcarea Phosphorica Biochemic Tablet 6X,30 ml,₹720,₹528,https://www.1mg.com/otc/bakson-s-homeopathy-calcarea-phosphorica-biochemic-tablet-6x-otc695108
48,Dr. Reckeweg R85 High Blood Pressure Drop,30 ml,₹330,₹288,https://www.1mg.com/otc/dr.-reckeweg-r85-high-blood-pressure-drop-otc326018
49,SBL Prostonum Drop,30 ml,₹170,₹136,https://www.1mg.com/otc/sbl-prostonum-drop-otc329004
50,SBL Berberis Aquifolium Gel,25 gm,₹75,₹72.4,https://www.1mg.com/otc/sbl-berberis-aquifolium-gel-otc330988
51,SBL Jaborandi Mother Tincture Q,30 ml,₹150,₹132,https://www.1mg.com/otc/sbl-jaborandi-mother-tincture-q-otc338446
52,Dr. Reckeweg R42 Varicosis Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r42-varicosis-drop-otc326032
53,Dr. Reckeweg R11 Rheumatism Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r11-rheumatism-drop-otc327504
54,Dr Willmar Schwabe Germany Cineraria Maritima Schwabe Eye Drop Alcohol Free,10 ml,₹200,₹192,https://www.1mg.com/otc/dr-willmar-schwabe-germany-cineraria-maritima-schwabe-eye-drop-alcohol-free-otc824401
55,SBL Kali Phosphoricum Biochemic Tablet 6X,25 gm,₹110,₹102,https://www.1mg.com/otc/sbl-kali-phosphoricum-biochemic-tablet-6x-otc331042
56,SBL Chelidonium Majus Mother Tincture Q,30 ml,₹150,₹140,https://www.1mg.com/otc/sbl-chelidonium-majus-mother-tincture-q-otc338503
57,ADEL 18 Glucorect Drop,20 ml,₹310,₹267,https://www.1mg.com/otc/adel-18-glucorect-drop-otc327731
58,Dr. Reckeweg R65 Psoriasis Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r65-psoriasis-drop-otc326001
59,Dr. Reckeweg R49 Sinus Drop,22 ml,₹285,MRP₹285,https://www.1mg.com/otc/dr.-reckeweg-r49-sinus-drop-otc327421
60,Bakson's Homeopathy Gastro Aid Tablet,200 tablets,₹500,₹316,https://www.1mg.com/otc/bakson-s-homeopathy-gastro-aid-tablet-otc386762
61,SBL Arnica Montana Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-arnica-montana-dilution-30-ch-otc338218
62,SBL Hydrastis Canadensis Mother Tincture Q,30 ml,₹425,₹373,https://www.1mg.com/otc/sbl-hydrastis-canadensis-mother-tincture-q-otc338448
63,SBL Calcarea Phosphorica Biochemic Tablet 6X,25 gm,₹110,₹101,https://www.1mg.com/otc/sbl-calcarea-phosphorica-biochemic-tablet-6x-otc331091
64,SBL Stobal Cough Syrup,500 ml,₹300,₹280,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc857676
65,Dr. Reckeweg R59 Weight Loss,22 ml,₹300,MRP₹285,https://www.1mg.com/otc/dr.-reckeweg-r59-weight-loss-otc326007
66,Bakson's Homeopathy Pilgo Tablet,75 tablets,₹215,₹155,https://www.1mg.com/otc/bakson-s-homeopathy-pilgo-tablet-otc327078
67,SBL Dibonil Drop,30 ml,₹135,₹125,https://www.1mg.com/otc/sbl-dibonil-drop-otc327094
68,SBL Liv T Tonic,180 ml,₹170,₹160,https://www.1mg.com/otc/sbl-liv-t-tonic-otc328967
69,Dr. Reckeweg R84 Inhalent Allergy Drop,30 ml,₹330,₹286,https://www.1mg.com/otc/dr.-reckeweg-r84-inhalent-allergy-drop-otc326011
70,SBL Bryonia Alba Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-bryonia-alba-dilution-30-ch-otc346050
71,Dr Willmar Schwabe India Alpha-Coff Cough Syrup,100 ml,₹115,₹105,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-coff-cough-syrup-otc407060
72,SBL Rhus Toxicodendron Dilution 200 CH,30 ml,₹115,₹100,https://www.1mg.com/otc/sbl-rhus-toxicodendron-dilution-200-ch-otc338182
73,Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,20 gm,₹200,₹174,https://www.1mg.com/otc/dr.-reckeweg-kali-phosphoricum-biochemic-tablet-6x-otc334909
74,Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 6X,20 gm,₹720,₹519,https://www.1mg.com/otc/bakson-s-homeopathy-magnesium-phosphoricum-biochemic-tablet-6x-otc695225
75,Dr. Reckeweg Nux Vomica Dilution 30 CH,11 ml,₹145,₹126,https://www.1mg.com/otc/dr.-reckeweg-nux-vomica-dilution-30-ch-otc336264
76,SBL Thuja Occidentalis Dilution 200 CH,30 ml,₹115,₹108,https://www.1mg.com/otc/sbl-thuja-occidentalis-dilution-200-ch-otc338170
77,Bakson's Homeopathy Rheum Aid Tablet,200 tablets,₹500,₹352,https://www.1mg.com/otc/bakson-s-homeopathy-rheum-aid-tablet-otc386770
78,SBL Crataegus Oxyacantha Q Mother Tincture,30 ml,₹105,₹94,https://www.1mg.com/otc/sbl-crataegus-oxyacantha-q-mother-tincture-otc338491
79,Dr. Reckeweg R16 Migraine and Neuralgia Drop,22 ml,₹285,₹246,https://www.1mg.com/otc/dr.-reckeweg-r16-migraine-and-neuralgia-drop-otc326067
80,SBL Terminalia Arjuna Mother Tincture Q,30 ml,₹105,₹102,https://www.1mg.com/otc/sbl-terminalia-arjuna-mother-tincture-q-otc338411
81,SBL Damiagra Forte Drop,30 ml,₹400,₹288,https://www.1mg.com/otc/sbl-damiagra-forte-drop-otc385769
82,Dr. Reckeweg Bio-Combination 6 (BC 6) Tablet,20 gm,₹200,₹172,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-6-bc-6-tablet-otc326281
83,SBL Belladonna Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-belladonna-dilution-30-ch-otc338213
84,SBL Bryonia Alba Dilution 200 CH,30 ml,₹115,₹86,https://www.1mg.com/otc/sbl-bryonia-alba-dilution-200-ch-otc346051
85,SBL Arnica Montana Mother Tincture Q,30 ml,₹240,₹230,https://www.1mg.com/otc/sbl-arnica-montana-mother-tincture-q-otc338517
86,Dr. Reckeweg R82 Anti Fungal Drop,30 ml,₹330,₹294,https://www.1mg.com/otc/dr.-reckeweg-r82-anti-fungal-drop-otc326002
87,Dr. Reckeweg Aalserum 7X Mother Tincture Q,20 ml,₹270,₹243,https://www.1mg.com/otc/dr.-reckeweg-aalserum-7x-mother-tincture-q-otc327821
88,Hapdco Aqui Plus Cream,25 gm,₹110,₹103,https://www.1mg.com/otc/hapdco-aqui-plus-cream-otc357587
89,SBL Sabal Serrulata Mother Tincture Q,30 ml,₹280,₹218,https://www.1mg.com/otc/sbl-sabal-serrulata-mother-tincture-q-otc338421
90,Dr. Reckeweg Rhus Tox Dilution 200 CH,11 ml,₹170,₹156,https://www.1mg.com/otc/dr.-reckeweg-rhus-tox-dilution-200-ch-otc331703
91,Dr. Reckeweg Arsenicum Album 30 Dilution,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-arsenicum-album-30-dilution-otc328906
92,Dr. Reckeweg R27 Renal Calculi Drop,22 ml,₹285,₹248,https://www.1mg.com/otc/dr.-reckeweg-r27-renal-calculi-drop-otc326057
93,Bakson's Homeopathy Sinus Aid Tablet,75 tablets,₹215,₹162,https://www.1mg.com/otc/bakson-s-homeopathy-sinus-aid-tablet-otc325988
94,SBL Lycopodium Clavatum Dilution 30 CH,30 ml,₹100,₹90,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-30-ch-otc338200
95,SBL Berberis Aquifolium Mother Tincture Q,30 ml,₹240,₹211,https://www.1mg.com/otc/sbl-berberis-aquifolium-mother-tincture-q-otc338512
96,Wheezal Hekla Lava Dental Cream,100 gm,₹85,₹76,https://www.1mg.com/otc/wheezal-hekla-lava-dental-cream-otc339191
97,SBL Rauwolfia Serpentina Mother Tincture Q,30 ml,₹105,₹98,https://www.1mg.com/otc/sbl-rauwolfia-serpentina-mother-tincture-q-otc338425
98,New Life NL-2 Blood Urea Creatinin Drop,30 ml,₹160,₹134,https://www.1mg.com/otc/new-life-nl-2-blood-urea-creatinin-drop-otc326171
99,SBL Magnesia Phosphorica Biochemic Tablet 6X,25 gm,₹110,₹100,https://www.1mg.com/otc/sbl-magnesia-phosphorica-biochemic-tablet-6x-otc331031
100,Dr. Reckeweg Testes Siccati Trituration Tablet 3X,20 gm,₹255,₹224,https://www.1mg.com/otc/dr.-reckeweg-testes-siccati-trituration-tablet-3x-otc326929
101,SBL FP-Tabs Tablet,25 gm,₹165,₹127,https://www.1mg.com/otc/sbl-fp-tabs-tablet-otc329015
102,Wheezal Mel-X Melasma Tablet,75 tablets,₹230,₹199,https://www.1mg.com/otc/wheezal-mel-x-melasma-tablet-otc713525
103,SBL Bio-Combination 25 Tablet,25 gm,₹110,₹97.1,https://www.1mg.com/otc/sbl-bio-combination-25-tablet-otc331077
104,SBL Calendula Cream,25 gm,₹75,₹66.8,https://www.1mg.com/otc/sbl-calendula-cream-otc330989
105,SBL Bio-Combination 21 Tablet,25 gm,₹110,₹82,https://www.1mg.com/otc/sbl-bio-combination-21-tablet-otc331070
106,Dr Willmar Schwabe India Phytolacca Berry Mother Tincture Q,30 ml,₹240,₹230,https://www.1mg.com/otc/dr-willmar-schwabe-india-phytolacca-berry-mother-tincture-q-otc391484
107,SBL Five Phos Tablet 6X,25 gm,₹110,₹100,https://www.1mg.com/otc/sbl-five-phos-tablet-6x-otc608306
108,Lord's Ylo Tablet,1000 tablets,₹1200,₹814,https://www.1mg.com/otc/lord-s-ylo-tablet-otc561524
109,SBL Homeocal Tablet,25 gm,₹165,₹145,https://www.1mg.com/otc/sbl-homeocal-tablet-otc326109
110,SBL Aconitum Napellus Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-aconitum-napellus-dilution-30-ch-otc345696
111,SBL Carbo Vegetabilis Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-carbo-vegetabilis-dilution-30-ch-otc338206
112,Bakson's Homeopathy Pilgo Tablet,200 tablets,₹500,₹356,https://www.1mg.com/otc/bakson-s-homeopathy-pilgo-tablet-otc386760
113,Dr. Reckeweg Aconitum Napellus Dilution 30 CH,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-aconitum-napellus-dilution-30-ch-otc326806
114,Bakson's Homeopathy Tonsil Aid Tablet,75 tablets,₹215,₹165,https://www.1mg.com/otc/bakson-s-homeopathy-tonsil-aid-tablet-otc402187
115,New Life Bach Flower Rescue Remedy 30,30 ml,₹125,₹111,https://www.1mg.com/otc/new-life-bach-flower-rescue-remedy-30-otc386623
116,SBL Carduus Marianus Mother Tincture Q,30 ml,₹150,₹117,https://www.1mg.com/otc/sbl-carduus-marianus-mother-tincture-q-otc338507
117,ADEL 4 Apo-Rheum Drop,20 ml,₹310,₹267,https://www.1mg.com/otc/adel-4-apo-rheum-drop-otc325870
118,Dr. Reckeweg V-C 15 Forte Tonic,20 ml,₹1260,₹1096,https://www.1mg.com/otc/dr.-reckeweg-v-c-15-forte-tonic-otc327329
119,Dr. Reckeweg R2 Essentia Aurea-Gold Drop,22 ml,₹285,₹237,https://www.1mg.com/otc/dr.-reckeweg-r2-essentia-aurea-gold-drop-otc327508
120,SBL Phytolacca Berry Mother Tincture Q,30 ml,₹240,₹220,https://www.1mg.com/otc/sbl-phytolacca-berry-mother-tincture-q-otc338433
121,Dr. Reckeweg Bio-Combination 21 (BC 21) Tablet,20 gm,₹200,₹184,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-21-bc-21-tablet-otc326262
122,Dr. Reckeweg Ashwagandha Mother Tincture Q,20 ml,₹360,₹313,https://www.1mg.com/otc/dr.-reckeweg-ashwagandha-mother-tincture-q-otc327798
123,Dr. Reckeweg R1 Inflammation Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r1-inflammation-drop-otc327511
124,Dr. Reckeweg Lycopodium Dilution 200 CH,11 ml,₹170,₹162,https://www.1mg.com/otc/dr.-reckeweg-lycopodium-dilution-200-ch-otc336001
125,Dr. Reckeweg R8 Jut-U-Sin Cough Syrup,150 ml,₹525,₹470,https://www.1mg.com/otc/dr.-reckeweg-r8-jut-u-sin-cough-syrup-otc326074
126,SBL Alfalfa Malt Energy Stimulant Delicious Chocolate,450 gm,₹355,₹319,https://www.1mg.com/otc/sbl-alfalfa-malt-energy-stimulant-delicious-chocolate-otc325799
127,Dr Willmar Schwabe India Chelidonium Majus Mother Tincture Q,30 ml,₹150,₹124,https://www.1mg.com/otc/dr-willmar-schwabe-india-chelidonium-majus-mother-tincture-q-otc390853
128,HHP Rheumonil Drop,30 ml,₹150,MRP₹120,https://www.1mg.com/otc/hhp-rheumonil-drop-otc862578
129,SBL Lycopodium Clavatum Dilution 200 CH,30 ml,₹115,₹105,https://www.1mg.com/otc/sbl-lycopodium-clavatum-dilution-200-ch-otc338199
130,SBL Alfalfa Tonic with Ginseng,180 ml,₹175,₹165,https://www.1mg.com/otc/sbl-alfalfa-tonic-with-ginseng-otc328976
131,Dr. Reckeweg R29 Vertigo And Syncope Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r29-vertigo-and-syncope-drop-otc327467
132,SBL Arnica Gel,25 gm,₹75,₹70,https://www.1mg.com/otc/sbl-arnica-gel-otc330982
133,SBL Hepar Sulphur Dilution 200 CH,30 ml,₹115,₹85,https://www.1mg.com/otc/sbl-hepar-sulphur-dilution-200-ch-otc347863
134,Dr. Reckeweg R18 Kidney And Bladder Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r18-kidney-and-bladder-drop-otc326065
135,SBL Nixocid Tablet,25 gm,₹165,₹160,https://www.1mg.com/otc/sbl-nixocid-tablet-otc326119
136,SBL Belladonna Dilution 200 CH,30 ml,₹115,₹107,https://www.1mg.com/otc/sbl-belladonna-dilution-200-ch-otc338212
137,SBL Rhus Toxicodendron Dilution 30 CH,30 ml,₹100,₹97.5,https://www.1mg.com/otc/sbl-rhus-toxicodendron-dilution-30-ch-otc338184
138,Dr. Reckeweg R3 Heart Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r3-heart-drop-otc326082
139,SBL Thuja Ointment,25 gm,₹75,₹70,https://www.1mg.com/otc/sbl-thuja-ointment-otc331009
140,SBL Bio-Combination 20 Tablet,25 gm,₹110,₹103,https://www.1mg.com/otc/sbl-bio-combination-20-tablet-otc331069
141,SBL Rite-Hite Tablet,25 gm,₹165,₹145,https://www.1mg.com/otc/sbl-rite-hite-tablet-otc329012
142,Allen A84 Lipoma Drop,30 ml,₹170,₹149,https://www.1mg.com/otc/allen-a84-lipoma-drop-otc330453
143,Dr. Reckeweg Carbo Veg Dilution 30 CH,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-carbo-veg-dilution-30-ch-otc326855
144,SBL Ferrum Phosphoricum Biochemic Tablet 6X,25 gm,₹110,₹105,https://www.1mg.com/otc/sbl-ferrum-phosphoricum-biochemic-tablet-6x-otc331056
145,SBL FP Ointment,25 gm,₹80,₹62,https://www.1mg.com/otc/sbl-fp-ointment-otc330996
146,SBL Arsenicum Album Dilution 200 CH,30 ml,₹115,₹109,https://www.1mg.com/otc/sbl-arsenicum-album-dilution-200-ch-otc345914
147,Adven Osteodin-Z Oral Drops (25ml Each),30 ml,₹555,₹399,https://www.1mg.com/otc/adven-osteodin-z-oral-drops-25ml-each-otc567455
148,Dr. Reckeweg R14 Nerve And Sleep Drop,22 ml,₹285,₹245,https://www.1mg.com/otc/dr.-reckeweg-r14-nerve-and-sleep-drop-otc326070
149,SBL Stobal Cough Syrup,115 ml,₹115,₹108,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328987
150,Dr Willmar Schwabe Germany Gastrobin Drop,20 ml,₹230,₹221,https://www.1mg.com/otc/dr-willmar-schwabe-germany-gastrobin-drop-otc326129
151,SBL Gymnema Sylvestre Mother Tincture Q,30 ml,₹105,₹97,https://www.1mg.com/otc/sbl-gymnema-sylvestre-mother-tincture-q-otc338482
152,Dr. Reckeweg Kalmegh Mother Tincture Q,20 ml,₹360,₹338,https://www.1mg.com/otc/dr.-reckeweg-kalmegh-mother-tincture-q-otc327588
153,SBL Thuja Roll-On,10 ml,₹50,₹49,https://www.1mg.com/otc/sbl-thuja-roll-on-otc337713
154,New Life Bach Flower Rescue Remedy 30,100 ml,₹50,MRP₹250,https://www.1mg.com/otc/new-life-bach-flower-rescue-remedy-30-otc701188
155,SBL Tribulus Terrestris Mother Tincture Q,30 ml,₹105,₹101,https://www.1mg.com/otc/sbl-tribulus-terrestris-mother-tincture-q-otc348982
156,Medisynth Wartex Cream,20 gm,₹100,₹94,https://www.1mg.com/otc/medisynth-wartex-cream-otc339265
157,Bakson's Homeopathy Kof Aid Tablet,75 tablets,₹215,₹161,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-tablet-otc327314
158,Dr. Reckeweg Sulphur Dilution 200,11 ml,₹170,₹160,https://www.1mg.com/otc/dr.-reckeweg-sulphur-dilution-200-otc331625
159,Wheezal Mel-X Melasma Tablet,30 tablets,₹125,₹111,https://www.1mg.com/otc/wheezal-mel-x-melasma-tablet-otc713520
160,ADEL 82 Hepat Liver Tonic Drop,150 ml,₹520,₹432,https://www.1mg.com/otc/adel-82-hepat-liver-tonic-drop-otc723949
161,Dr. Reckeweg Five Phos 6X Tablet,20 gm,₹200,₹188,https://www.1mg.com/otc/dr.-reckeweg-five-phos-6x-tablet-otc653785
162,SBL Cineraria Maritima Euphrasia Eye Drop,10 ml,₹125,₹118,https://www.1mg.com/otc/sbl-cineraria-maritima-euphrasia-eye-drop-otc329019
163,Dr. Reckeweg Nux Vomica Dilution 200 CH,11 ml,₹170,₹151,https://www.1mg.com/otc/dr.-reckeweg-nux-vomica-dilution-200-ch-otc336265
164,Dr. Reckeweg Rhus Tox Dilution 30 CH,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-rhus-tox-dilution-30-ch-otc326469
165,SBL Damiana Mother Tincture Q,30 ml,₹150,₹141,https://www.1mg.com/otc/sbl-damiana-mother-tincture-q-otc338489
166,SBL Ginseng Mother Tincture Q,30 ml,₹365,₹274,https://www.1mg.com/otc/sbl-ginseng-mother-tincture-q-otc338483
167,Dr. Reckeweg Lycopodium Dilution 30 CH,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-lycopodium-dilution-30-ch-otc327871
168,Dr. Reckeweg R6 Influenza Drop,22 ml,₹285,₹257,https://www.1mg.com/otc/dr.-reckeweg-r6-influenza-drop-otc326076
169,Dr Willmar Schwabe India Alpha-Liv Liver Tonic,500 ml,₹350,₹299,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-liv-liver-tonic-otc492430
170,Bakson's Homeopathy Astha Aid Tablet,200 tablets,₹500,₹405,https://www.1mg.com/otc/bakson-s-homeopathy-astha-aid-tablet-otc386763
171,SBL Euphrasia 10% Eye Drop,10 ml,₹90,₹87.3,https://www.1mg.com/otc/sbl-euphrasia-10-eye-drop-otc326104
172,Wheezal Mel-X Melasma Cream,25 gm,₹135,₹127,https://www.1mg.com/otc/wheezal-mel-x-melasma-cream-otc713516
173,Dr. Reckeweg Syzygium Jamb Mother Tincture Q,20 ml,₹270,₹254,https://www.1mg.com/otc/dr.-reckeweg-syzygium-jamb-mother-tincture-q-otc327494
174,SBL Passiflora Incarnata Mother Tincture Q,30 ml,₹125,₹110,https://www.1mg.com/otc/sbl-passiflora-incarnata-mother-tincture-q-otc338434
175,New Life NL-3 Blood Cholestrol Drop,30 ml,₹160,₹141,https://www.1mg.com/otc/new-life-nl-3-blood-cholestrol-drop-otc326170
176,SBL Hepar Sulphur Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-hepar-sulphur-dilution-30-ch-otc338323
177,Dr Willmar Schwabe Germany Biofungin Syrup,250 ml,₹847,₹771,https://www.1mg.com/otc/dr-willmar-schwabe-germany-biofungin-syrup-otc326130
178,Bakson's Homeopathy Gastro Aid Tablet,75 tablets,₹215,₹171,https://www.1mg.com/otc/bakson-s-homeopathy-gastro-aid-tablet-otc326081
179,Bjain Syzygium Jambolanum Mother Tincture Q,100 ml,₹195,₹146,https://www.1mg.com/otc/bjain-syzygium-jambolanum-mother-tincture-q-otc329100
