,Name,Brand,Key Ingredients,Benifits,Rating,No_of_Rating
96,Dr. Reckeweg R84 Inhalent Allergy Drop,Dr Reckeweg & Co,It aids in managing hypersensitivity to inhaled allergens,It is a homeopathic formula for respiratory allergies,4.4,387 Ratings
97,SBL Dibonil Drop,SBL Pvt Ltd,Regular use helps reduce frequent urination and excessive thirst,Manages blood sugar levels ,4.6,731 Ratings
98,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
99,SBL Bryonia Alba Dilution 30 CH,SBL Pvt Ltd,"It is primarily used for the management of Influenza, coryza, arthritis and rheumatism","Can help alleviate influenza, coryza, arthritis, and rheumatism",4.6,1530 Ratings
100,Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,Dr Reckeweg & Co,Kali Phosphoricum,Helps reduce stress and anxiety,4.6,680 Ratings
101,Sunny Herbals Arnica Montana Hair Oil,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arnica montana,Stimulates circulation,3.9,14 Ratings
102,SBL Rhus Toxicodendron Dilution 200 CH,SBL Pvt Ltd,Rhus Toxicodendron,Useful in the treatment of eczema and relieves conditions of itchiness and rashes,4.6,1252 Ratings
103,Dr. Reckeweg Nux Vomica Dilution 30 CH,Dr Reckeweg & Co,It is primarily used to manage mood swings and uncontrollable anger,Helps alleviate mood swings and control anger,4.6,1063 Ratings
104,Bakson's Homeopathy Pilgo Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Ratanhia 2x, Hamamelis virginica 2x, Aesculus hippocastanum 3x, Aloe socotrina 3x.","Pilgo tablets improve bowel movements and provides relief from itching, burning, and discomfort associated with piles",4.4,322 Ratings
105,Dr Willmar Schwabe India Alpha-Coff Cough Syrup,Dr Willmar Schwabe India Pvt Ltd,"For patients with diabetes, please note that this product contains sugar",Manages spasmodic and suffocative cough,4.5,457 Ratings
106,SBL Thuja Occidentalis Dilution 200 CH,SBL Pvt Ltd,The dilution can help minimise warts and flat ulcers that appear on the corners of the mouth and lips,"Primarily used to treat viral warts; a small, fleshy bump on the skin or mucous membrane caused by human papillomavirus",4.4,1262 Ratings
107,SBL Damiagra Forte Drop,SBL Pvt Ltd,Damiana,Enhances vitality and vigour in males,4,353 Ratings
108,SBL Crataegus Oxyacantha Q Mother Tincture,SBL Pvt Ltd,Provides effective relief from chest pain,Regulates blood pressure,4.7,724 Ratings
109,Dr. Reckeweg R16 Migraine and Neuralgia Drop,Dr Reckeweg & Co,"Cimicifuga, Gelsemium, Iris, Sanguinaria, Spigelia, Ethanol, Alcohol",Provides relief from migraines,4.5,390 Ratings
110,Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 6X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"For cramps and spasmodic affections/pain, neuralgia and sciatica",Manages cramps and sciatica,4.6,70 Ratings
111,SBL Arnica Montana Mother Tincture Q,SBL Pvt Ltd,"Provides effective relief from fainting, dizziness and pain in the head",Reduces swelling and soreness in the injured area,4.6,482 Ratings
112,SBL Terminalia Arjuna Mother Tincture Q,SBL Pvt Ltd,The formula can help improve cardiovascular health,The formula can help improve cardiovascular health,4.7,474 Ratings
113,Sunny Herbals Anti Wrinkle Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera,It reduces fine lines and wrinkles,4.5,44 Ratings
114,Sunny Herbals Hair Color 12 Sachets Dark Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
115,Dr. Reckeweg R82 Anti Fungal Drop,Dr Reckeweg & Co,It helps manage fungal infections,It helps manage fungal infections,4.3,478 Ratings
116,Sunny Herbals Hair Color Light Brown Sachet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Amla,Ensures a lasting light brown shade,4.6,22 Ratings
117,SBL Belladonna Dilution 30 CH,SBL Pvt Ltd,Effective in the treatment of intestinal spasms,Provides relief from issues in the bladder and biliary tract,4.7,1299 Ratings
118,Bakson's Homeopathy Sinus Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arsenicum album 6x,Sinus Aid Tablets are effective for sinusitis symptoms like blocked nose and sneezing,4.4,147 Ratings
119,Sunny Herbals Foot Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloevera,Medicated antiseptic foot cream to provide instant hydration,4.6,26 Ratings
120,SBL Bryonia Alba Dilution 200 CH,SBL Pvt Ltd,"It is primarily used for the management of Influenza, coryza, arthritis and rheumatism","Can help alleviate influenza, coryza, arthritis, and rheumatism",4.6,1530 Ratings
121,SBL Sabal Serrulata Mother Tincture Q,SBL Pvt Ltd,The formula can help alleviate genitourinary organ infections,The product helps to increase weight and strength ,4.5,449 Ratings
122,Dr. Reckeweg R27 Renal Calculi Drop,Dr Reckeweg & Co,"Acid. Nitric., Berberis, Lycopodium, Rubia tinctor, Sarsaparilla",Beneficial for renal calculi and catarrh of the bladder,4.5,393 Ratings
123,SBL Lycopodium Clavatum Dilution 30 CH,SBL Pvt Ltd,Lycopodium Clavatum,It is used for bloating and liver complaints,4.5,1286 Ratings
124,Sunny Herbals Under Eye Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Revitalises the skin around the eyes: The cream contains essential oils, aloe vera, arnica, and cucumber distillates, which work in synergy to rejuvenate the skin around the eyes. This revitalization results in a visibly brighter and smoother appearance, making your eyes look more refreshed",Revitalises the skin around the eyes,4.2,58 Ratings
125,Dr. Reckeweg Rhus Tox Dilution 200 CH,Dr Reckeweg & Co,Provides effective treatment for eczema and relieves conditions of itchiness and rashes,Helps soothe rheumatic and arthritic pains,4.6,1072 Ratings
126,Dr. Reckeweg Aalserum 7X Mother Tincture Q,Dr Reckeweg & Co,Aalserum,Helps relieve urinary disorders,4.5,373 Ratings
127,Sunny Herbals Hair Color 12 Sachets Light Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
128,Bakson's Homeopathy Pilgo Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Ratanhia 2x, Hamamelis virginica 2x, Aesculus hippocastanum 3x, Aloe socotrina 3x.","Pilgo tablets improve bowel movements and provides relief from itching, burning, and discomfort associated with piles",4.4,322 Ratings
129,Dr. Reckeweg Bio-Combination 6 (BC 6) Tablet,Dr Reckeweg & Co,Ferrum Phosphoricum,Helps in relieving common cold,4.7,267 Ratings
130,Sunny Herbals Hair Color 12 Sachets Burgundy,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
131,Dr. Reckeweg Arsenicum Album 30 Dilution,Dr Reckeweg & Co,The formulation can help provide relief from acidity and indigestion,Helps in the treatment of stomach disorders,4.7,563 Ratings
132,New Life NL-2 Blood Urea Creatinin Drop,New Life Laboratories Pvt Ltd,Prolonged and regular use of NL-2 blood urea creatinine drop is useful for the management of renal failure and uremia,Helps relieve burning in urethra,4.4,373 Ratings
133,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
